project,relative,status_vs_old_worktree,sha256,old_sha256
apps,examples/openvela_ble_probe/rank1_benchmark.c,added,603373a8a5bc88260724d79dfc41857efbc483b52d288253d7f053646728b8c3,
apps,examples/openvela_ble_probe/rank1_benchmark.h,added,8c8b3317b7b573a8190f53d10cb98563bfd44314859b58f2c03ded612efe1289,
apps,examples/openvela_ble_probe/tools/capture_front_camera_ble_accel.py,added,80f182172d4392960609a1d4c0d1986160ce92d48ce343e14dcc437ee6e98ce5,
apps,examples/openvela_ble_probe/tools/serial_beat_link_test.py,added,3e29f2fc8921df43a18ae9e818faeb9f66ee50433cc7f21277f3db9b7791cc3a,
apps,examples/openvela_ble_probe/tools/serial_imu_capture.py,added,7e9126a48e2af2409b91e686e21dadbc7b267d709761bc8ba55d6eda32f798fd,
apps,frameworks/CMakeLists.txt,unchanged,5111bc453239793103c0b61fed48312e90be916781f3f56b8d6e4a66fb38d0d7,5111bc453239793103c0b61fed48312e90be916781f3f56b8d6e4a66fb38d0d7
apps,frameworks/Makefile,unchanged,0d64977d941cb3158058df1b9b7cbbfa9eaf92e8b581dfc5e642ff856e7664c4,0d64977d941cb3158058df1b9b7cbbfa9eaf92e8b581dfc5e642ff856e7664c4
apps/graphics/lvgl/lvgl,src/drivers/nuttx/lv_nuttx_lcd.c,modified,78d0f13157798ebac0ff8ba8b23f8b621d6f9ca690a4cb464ecbb33b4cf070a6,1e4bfca53add5bad0be517968cdb5abb70c05abdffc62bc0eb15d6b11bc4d228
external/zblue/zblue,include/zephyr/bluetooth/bluetooth.h,modified,e05568923b5c17efac8604ee12ece526500000deae6495fa658829a857b3fc8a,f974038fa5f33d5a83d7e58371038b83c48895022d87e212ae0b08f39a3c428c
external/zblue/zblue,subsys/bluetooth/host/adv.c,modified,3c5656d113f02037ce1dc016ac4713e4c60923555874dcbed6091afc4578bdc9,6950deafeb760238cbdcfb35c9ff1c17cbe134cc321d14aab1bdc0cbc334c748
external/zblue/zblue,subsys/bluetooth/host/adv.h,modified,46d665adf51e40bd0dfcefa691fbde32b9481f6c4eed2bb84d6185cccbc2199c,5fa58eb99b8554f4af1827d0025d64c5d1f2f4e627b83c1cce76d9430abca1ed
external/zblue/zblue,subsys/bluetooth/host/att.c,modified,361ddf6aa7ed15dec489004f32eeaba8e1cd68774731e8b8d157ef2ea9f45871,784d15807fa60ed57bc6961dfe1370cd1382b15109e9ac451a040096e0c9e5aa
external/zblue/zblue,subsys/bluetooth/host/gatt.c,modified,78f79cd48306bb92b00c073a34774fb775d8eb57bd4c8284c76d278870e836a3,f529be29eb916bbc9361076da13621a551eeed3c781a6188e94bcd3e14d8e352
external/zblue/zblue,subsys/bluetooth/host/hci_core.c,modified,5f969133e19ed4a7e901089d619c6f6d99ff41c3912647d606bb975a6091da9b,20b542dd8a8ff9e434d6db963a081dc9e956caed76976a18abd3efd6e053f9df
frameworks/connectivity/bluetooth,framework/api/bluetooth.c,modified,177631f8a3e76a9a232f2ed12d3bd549324f1a9c4afa1d666a179ff6fa5e2df0,581fe2262df06484626d96de0b3d9a4e1c14830d7c21bf97621aeaa0b2fdde06
frameworks/connectivity/bluetooth,service/common/service_loop.c,modified,182161fa4b0f0d9fe19dbca5b444d8b8059dee44172268e23879a9055c91818b,1b40edabd6657ccd3a1f9e7b4dfba705a053b692ed13e75a77f34e56e73b0de4
frameworks/connectivity/bluetooth,service/common/service_trace.h,added,c0185be6286f2113f9bd8fb207c210e32ab54499d86c191152cd816ae20d4014,
frameworks/connectivity/bluetooth,service/profiles/gatt/gatts_service.c,modified,3331a91b6e996a3b8dc1c649cdd9a89b41a5c0fce154d44d237d543f1d4421c2,7e825d4968da9ae215553c48329c9940ca30f5b721b7c813a4b4adc3ea5907cf
frameworks/connectivity/bluetooth,service/src/adapter_service.c,modified,a18630bdb942152dbb2dec960d5d312ed0cf776bcd0b0cc45f927bbe0d49179c,4a6453ccec230ab9abcfc7e4956ebf33304ec6af869f1f9be2c295a6e3ae09c5
frameworks/connectivity/bluetooth,service/stacks/include/sal_adapter_le_interface.h,modified,a976a88ca2f6b39b67c45aeec03dc8fb23a778b7e05543d407465f65343b5218,250a534374f6e5d3000bca3d120ba0fd86399ddf76c74795021cd6cccbfab710
frameworks/connectivity/bluetooth,service/stacks/zephyr/hci_h4.c,modified,6c2e80efdb7a8913fb09fea51f0c9d487ae118e92319d35cefb271c6f53eb6c9,b35703f6b91659a09c4a95d86917903354150e3d2f5af6c00821188016f7c0fd
frameworks/connectivity/bluetooth,service/stacks/zephyr/sal_adapter_le_interface.c,modified,c684b58f87550ec8fbb99671cf404a2cd7d3d3df5e7bc0ede043c19eacc429b7,5e9de40b4f13b0bd985b6abe26f396246c5133846a7fc50098e973141475f198
frameworks/connectivity/bluetooth,service/stacks/zephyr/sal_gatt_db_ownership.h,added,474da90015161ba1539e107be08eb62d512d2f5e0b34706c6c8984a22cdd16af,
frameworks/connectivity/bluetooth,service/stacks/zephyr/sal_gatt_server_interface.c,modified,3f69343a14390d362e312a636c4dfedc83f8859bcb1ccecc22910cef02a7ced7,8bce4f78dc2c5ad1f40d6b438acfa3c14630cab379ebcdbcf48a13147420ea7f
frameworks/connectivity/bluetooth,service/stacks/zephyr/sal_le_advertise_interface.c,modified,bd5e73b30fae0451292d81b98a8dabf5826fffe8cca6de6ecfcf4bb9294f1116,3c479af5aa9b0c279193552b7d0c3d18c53cac0a68b6ffbcd8d9b24e48708586
vendor/sifli,boards/sf32lb52/lckfb_huangshan_pi/configs/nsh/defconfig,unchanged,2500b3837bd05a8bddc8475b436bffa87da3a4548b6ae8a9cae09fb115ed21e6,2500b3837bd05a8bddc8475b436bffa87da3a4548b6ae8a9cae09fb115ed21e6
vendor/sifli,boards/sf32lb52/lckfb_huangshan_pi/include/board.h,unchanged,58c47a0ea606013c81a3d3d06ee0c4cd64656061c26fd5701f11415e11bc6122,58c47a0ea606013c81a3d3d06ee0c4cd64656061c26fd5701f11415e11bc6122
vendor/sifli,boards/sf32lb52/lckfb_huangshan_pi/src/bsp_pinmux.c,unchanged,9a0ef1d285d82e89f182dbf3de91c61d414aedc8a40d44dfc1be1362b80b000e,9a0ef1d285d82e89f182dbf3de91c61d414aedc8a40d44dfc1be1362b80b000e
vendor/sifli,boards/sf32lb52/lckfb_huangshan_pi/src/sifli_ap.c,unchanged,5c22bc880dbafa37444539808a015f7f1185c522600e281daf1f927330767a8d,5c22bc880dbafa37444539808a015f7f1185c522600e281daf1f927330767a8d
vendor/sifli,chips/sf32lb52/sf32lb52_bt_adapter.c,modified,bc2e9df139dc980067c11a98bb2f8657f9d115aa80ed9362456a3eacd69d9edb,e0d25ec3e3287bc31afb7c2379dbd3dbe18a7cb05290ba5097d2c199b544d95d
vendor/sifli,chips/sf32lb52/sf32lb52_bt_adapter.h,modified,59fef374111fbf774ae68fa953a13fc7e26290fc10cd4a2db75f6e43ba0fde7d,d3f263da5d2ec4191f3497ac3107de817c3b3d571708c9bdfc53094bc762de04
vendor/sifli,chips/sf32lb52/sf32lb52_bth4.c,modified,9b046e8a8c2e95f6ae579eebae7d31b3ba8ca243ea19511aac1b2cc66ab46179,0157aaebfc0ce06b905ca5e4f66c997dd658460460d0fce4a1c3800a08ee019a
vendor/sifli,chips/sf32lb52/sf32lb52_lcpu_boot.c,modified,ac18644f00251e49412b378eeeb075774640d0ec573eeacab4cef983b69020c8,dcc14e4eaf44357006feb748d7aff0d7ff35a55c5be9f367eb7cfa36ff23b30a
vendor/sifli,chips/sf32lb52/sifli_allocateheap.c,unchanged,c729ef0ae23ab96199826a93416d1fcec3b163946cd7b898d538255a2dbb6850,c729ef0ae23ab96199826a93416d1fcec3b163946cd7b898d538255a2dbb6850
vendor/sifli,chips/sf32lb52/sifli_start.c,unchanged,2928c232ad7da02e784c1829e08aabe137b4c36310ee240abac34983fb464d08,2928c232ad7da02e784c1829e08aabe137b4c36310ee240abac34983fb464d08
nuttx,include/nuttx/wireless/bluetooth/bt_hci_rx_snapshot.h,added,f349800961d71e0e73c747ff62fdc067953fe9ecfd4b8d756ec1205d7f3270cf,
nuttx,tools/mkallsyms.py,modified,8d6e8b101f774127962f4b137fedea01f8011c1e4cf1ab5a29560a0b8e859cce,d2d6bbec9234223d8f0420471b3ca047d50c744d97b6f0e677109a619608b7a5
